id,title,stage_id,stage_name,stage_semantic_id,category_id,category_name,opportunity,currency_id,probability,assigned_by_name,date_create,date_modify,closedate,source_id,source_name,is_closed,alcance_pau,alcance_pic,dept_cisac
52,RFQ N° 006 Sensor Transmisor de Nivel  (Proyecto Tambomayo),LOSE,Closed Lost,F,0,Pipeline Principal,3268.76000000,USD,40,Francisco Gonzales P.,2016-02-03T18:21:36+03:00,2021-10-25T21:46:54+03:00,2016-02-17T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
54,RFQ N° 005 Sensor Transmisor de PH  (Proyecto Tambomayo),WON,Closed Won,S,0,Pipeline Principal,3954.07000000,USD,70,Francisco Gonzales P.,2016-02-03T18:41:08+03:00,2021-10-25T21:46:54+03:00,2016-02-17T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
56,RFQ: 6000224613 - Tx de pH de 6 canales,WON,Closed Won,S,0,Pipeline Principal,6399.48000000,USD,90,Yemira Arce L.,2016-02-03T19:10:44+03:00,2021-10-25T21:46:53+03:00,2016-04-12T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
58,4 Tx de Flujo Proyecto - Replica de otra aplicación ll REQ Volcan_6000225320,WON,Closed Won,S,0,Pipeline Principal,30498.20000000,USD,85,Yemira Arce L.,2016-02-03T21:07:15+03:00,2026-04-24T16:58:37+03:00,2016-03-18T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
60,Repuestos y Servicios para Mantenimiento de 02 Actuadores Electricos,WON,Closed Won,S,0,Pipeline Principal,7221.00000000,USD,75,Ricardo Alvarado,2016-02-03T22:29:02+03:00,2018-11-27T01:10:24+03:00,2016-04-12T03:00:00+03:00,,,N,No llenado,No llenado,"Ventas,Servicios"
62,Maquina de Balde,LOSE,Closed Lost,F,0,Pipeline Principal,245913.94000000,USD,50,Ricardo Alvarado,2016-02-04T01:41:31+03:00,2018-11-27T01:10:24+03:00,2016-06-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
64,N° Pedido 6000081748 - Transmisores de Temperatura TMT182 y TMT112,WON,Closed Won,S,0,Pipeline Principal,8391.76000000,USD,90,Yerson Juarez V.,2016-02-04T01:49:17+03:00,2026-04-23T20:02:43+03:00,2016-02-08T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
66,"RFQ 6001295986, Tarjeta repuesto RSG30",WON,Closed Won,S,0,Pipeline Principal,1126.73000000,USD,90,Walter Colán G.,2016-02-04T02:04:20+03:00,2018-11-27T01:10:24+03:00,2016-02-06T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
68,Petición: 6000224659 - 3 Sensores pH,WON,Closed Won,S,0,Pipeline Principal,2462.70000000,USD,70,Yemira Arce L.,2016-02-04T02:08:42+03:00,2021-10-25T21:46:53+03:00,2016-02-12T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
70,CO2 gas envasado & Tanque,WON,Closed Won,S,0,Pipeline Principal,14598.87000000,USD,100,Walter Colán G.,2016-02-04T02:31:21+03:00,2018-11-27T01:10:24+03:00,2016-04-29T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
72,Solpe 1000135739 - Interruptor de Nivel FTC325,LOSE,Closed Lost,F,0,Pipeline Principal,644.75000000,USD,50,Yerson Juarez V.,2016-02-04T02:33:27+03:00,2026-04-23T20:01:45+03:00,2016-03-03T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
74,Solicitud: 182281 - 6 medidores caudal McCrometer,3,Closed Other,F,0,Pipeline Principal,11094.00000000,USD,20,Eduardo Rosas,2016-02-04T17:20:53+03:00,2021-10-25T21:46:53+03:00,2016-06-13T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
76,"Solicitud de cotización 10028769 - Flujometros para tuberia 12""",LOSE,Closed Lost,F,0,Pipeline Principal,19083.68000000,USD,50,Yerson Juarez V.,2016-02-04T17:54:21+03:00,2026-04-30T18:29:05+03:00,2016-03-31T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
78,"Flujometro de 10"" para pulpa Pb-Ag (Molienda)",3,Closed Other,F,0,Pipeline Principal,11169.72000000,USD,70,Yemira Arce L.,2016-02-04T18:28:05+03:00,2026-05-29T23:41:05+03:00,2016-05-24T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
80,Indicador Fieldbus RID16,3,Closed Other,F,0,Pipeline Principal,3963.56000000,USD,40,Eduardo Rosas,2016-02-04T20:39:56+03:00,2018-11-27T01:10:25+03:00,2016-10-07T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
84,Calibración de medidores de presion,WON,Closed Won,S,0,Pipeline Principal,744.00000000,USD,100,Francisco Gonzales P.,2016-02-04T22:45:29+03:00,2018-11-27T01:10:25+03:00,2016-02-09T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
86,Servicio de capacitación en medidores de flujo y conductividad,3,Closed Other,F,0,Pipeline Principal,5876.00000000,USD,90,Fredy Huamán R.,2016-02-05T00:04:05+03:00,2018-11-27T01:10:25+03:00,2016-09-15T03:00:00+03:00,,,N,No llenado,No llenado,Servicios
88,RFQ instrumentos varios,3,Closed Other,F,0,Pipeline Principal,23212.77000000,USD,75,Francisco Gonzales P.,2016-02-05T01:18:46+03:00,2018-11-27T01:10:25+03:00,2016-04-21T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
90,Zeta Gas Andino SA (Repuesto para Tarjeta Masico 10inch),3,Closed Other,F,0,Pipeline Principal,2131.38000000,USD,75,Alex Gamarra G.,2016-02-05T01:31:35+03:00,2021-10-25T21:48:37+03:00,2016-09-21T03:00:00+03:00,,,N,No llenado,No llenado,"Ventas,Servicios"
92,RFQ: 6000141166 - Sensores de pH,WON,Closed Won,S,0,Pipeline Principal,14902.65000000,USD,80,Yemira Arce L.,2016-02-05T01:49:17+03:00,2021-10-25T21:46:53+03:00,2016-03-08T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
94,Cotización: 90054979 - Solucion Calibracion Conductividad,WON,Closed Won,S,0,Pipeline Principal,479.87000000,USD,70,Yerson Juarez V.,2016-02-05T02:21:03+03:00,2021-10-25T21:46:53+03:00,2016-03-04T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
96,REQ: 2099532 - Tx de nivel + 60mts de cable,WON,Closed Won,S,0,Pipeline Principal,7916.14000000,USD,70,Yerson Juarez V.,2016-02-05T18:41:57+03:00,2026-04-27T22:54:29+03:00,2016-02-10T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
98,RFQ TRANSMISOR DE FLUJO 50H,3,Closed Other,F,0,Pipeline Principal,3420.49000000,USD,40,Walter Colán G.,2016-02-05T18:59:44+03:00,2018-11-27T01:10:25+03:00,2016-07-06T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
100,RFQ: 6000003974 - Sensor de pH y cable,WON,Closed Won,S,0,Pipeline Principal,1506.60000000,USD,70,Yerson Juarez V.,2016-02-05T21:05:47+03:00,2026-04-23T17:32:29+03:00,2016-03-04T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
102,RFQ: Y2790 - Tx y sensor de turbidez,WON,Closed Won,S,0,Pipeline Principal,13917.08000000,USD,80,Yerson Juarez V.,2016-02-05T22:19:00+03:00,2026-04-23T19:52:43+03:00,2016-02-10T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
104,RFQ: EFC 182606 - Tx y sensor de turbidez,3,Closed Other,F,0,Pipeline Principal,15528.02000000,USD,50,Eduardo Rosas,2016-02-05T22:33:40+03:00,2021-10-25T21:46:52+03:00,2016-02-05T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
106,Proyecto WTP,WON,Closed Won,S,0,Pipeline Principal,9308.92000000,USD,70,Walter Colán G.,2016-02-05T22:55:49+03:00,2018-11-27T01:10:26+03:00,2016-09-23T03:00:00+03:00,,,N,No llenado,No llenado,Ventas
