id,name,code,active,section_id,section_name,parent_section_id,parent_section_name
394,Endress+Hauser-Otros,,Y,207,001 UN AU,,
396,ActuadoresElec.Auma,,Y,211,003 UN VA,,
398,Evoqua-Xylem.W&T,,Y,209,002 UN AI,,
400,Hawle,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
402,KSH,,Y,312,Otras Marcas UNAI No Repres,209,002 UN AI
404,McCrometer,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
406,MSA,,Y,207,001 UN AU,,
408,Sewer,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
410,Quimicos.UGSI,,Y,209,002 UN AI,,
412,Ultimo,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
414,Ameritrol,,Y,207,001 UN AU,,
416,Canalta,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
418,Columbiana,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
420,Comet System,,Y,310,Otras Marcas UNAU No Repres,207,001 UN AU
422,Dynamic Flow Computer,,Y,310,Otras Marcas UNAU No Repres,207,001 UN AU
424,Force Flow,,Y,209,002 UN AI,,
426,Profimess,,Y,207,001 UN AU,,
428,ReventaLocal,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
430,Otros Importacion,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
464,Suministros Industriales,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
516,ReventaLocal2,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
518,Servicios2,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
596,Red Valve,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
598,Gauge.Wika,,Y,207,001 UN AU,,
703,Federal Signal,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
707,Kobold,,Y,310,Otras Marcas UNAU No Repres,207,001 UN AU
711,Salmson,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
791,HWM,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
793,Flow-tronic,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
795,Mini-Cam,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
797,CMO Valves,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
799,Valvulas Terceros,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
801,Power-Genex,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
1321,Quimicos.Dosatron,,Y,209,002 UN AI,,
1513,Hadro,,Y,207,001 UN AU,,
1515,Sirena.Baliza,,Y,207,001 UN AU,,
1517,Equip.UNAU.RvtaLocal,,Y,207,001 UN AU,,
1519,Equip.UNAU.Importa,,Y,207,001 UN AU,,
1521,HWM.Otros,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1523,Hydreka,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1525,Accesorios.Cloro,,Y,209,002 UN AI,,
1527,ACIPCO,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1529,Vacall,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1531,Equip.UNAI.RvtaLocal,,Y,209,002 UN AI,,
1533,Equip.UNAI.Importa,,Y,209,002 UN AI,,
1537,CVS Controls,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1539,SMC.UNVA,,Y,211,003 UN VA,,
1541,Quadax,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
1543,Remington,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
1545,Valvulas.NoRep.Mariposa,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1547,Valvulas.NoRep.Bola,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1549,Valvulas.NoRep.Bola.Trunni,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1551,Valvulas.NoRep.Bola.Peque,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1553,Valvulas.NoRep.CompBrid,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1555,Valvulas.NoRep.CompDesli,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1557,Valvulas.NoRep.ControlProc,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1561,Valvulas.NoRep.Anular,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1563,Valvulas.NoRep.ControlHidr,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1565,Valvulas.NoRep.Ventosa,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1567,Valvulas.NoRep.GloboOnOff,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1569,Valvulas.NoRep.Seguridad,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1571,Valvulas.NoRep.ProteccTks,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1573,Valvulas.NoRep.Dardo,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1575,Valvulas.NoRep.ReducPres,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
1577,Valvulas.NoRep.Otros,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1579,Valvulas.NoRep.Tapon,,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
1581,Proy-Equipos.Autom.ABB,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1583,Proy-Equipos.Autom.RA,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1585,Proy-Equipos.Autom.Otros,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1587,Proy-Equipos3ros.Importa,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1589,Proy-Equipos3ros.RevLoc,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1591,Proy-Servicio.GeneralRev,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1593,Proy-Servicio.Ejec.Directa,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1595,Proy-Documentacion,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1597,Proy-Otros,,N,217,Dpto_Proyectos (No Usar),215,NoElegir
1599,HSEQ-Documentacion.Vtas,,Y,219,007 Dpto_QSE,,
1601,HSEQ-Documentacion.Proy,,Y,219,007 Dpto_QSE,,
1603,HSEQ-Documentacion.Serv,,Y,219,007 Dpto_QSE,,
1605,HSEQ-Servicio.Ejec.Directa,,Y,219,007 Dpto_QSE,,
1607,HSEQ-EquiposEPPs.Vta-Alqu,,Y,219,007 Dpto_QSE,,
1609,HSEQ-Otros,,Y,219,007 Dpto_QSE,,
1611,Serv-EjDir.Pmarcha.UNAU,,Y,223,Ejecucion,221,006 Dpto_Servicio
1613,Serv-EjDir.Pmarcha.UNAI,,Y,223,Ejecucion,221,006 Dpto_Servicio
1615,Serv-EjDir.Calib.Flujo,,Y,223,Ejecucion,221,006 Dpto_Servicio
1617,Serv-EjDir.Calib-Contrast.Analisis,,Y,223,Ejecucion,221,006 Dpto_Servicio
1619,Serv-EjDir.Calib-Contrast.Presion,,Y,223,Ejecucion,221,006 Dpto_Servicio
1621,Serv-EjDir.Calib-Contrast.Tempe,,Y,223,Ejecucion,221,006 Dpto_Servicio
1623,Serv-EjDir.Calib-Contrast.DetGases,,Y,223,Ejecucion,221,006 Dpto_Servicio
1625,Serv-EjDir.Calib-Contrast.Otros,,Y,223,Ejecucion,221,006 Dpto_Servicio
1627,Serv-EjDir.Transp.Gamma,,Y,223,Ejecucion,221,006 Dpto_Servicio
1629,Serv-EjDir.Capacitacion.UNAU,,Y,223,Ejecucion,221,006 Dpto_Servicio
1631,Serv-EjDir.Capacitacion.UNAI,,Y,223,Ejecucion,221,006 Dpto_Servicio
1633,Serv-EjDir.Repar-Diagnos.UNAU,,Y,223,Ejecucion,221,006 Dpto_Servicio
1635,Serv-EjDir.Repar-Diagnos.UNAI,,Y,223,Ejecucion,221,006 Dpto_Servicio
1637,Serv-EjDir.Mntto.AUMA,,Y,223,Ejecucion,221,006 Dpto_Servicio
1639,Serv-EjDir.SupervisionSitio,,Y,223,Ejecucion,221,006 Dpto_Servicio
1641,Serv-EjDir.Otros.UNAU,,Y,223,Ejecucion,221,006 Dpto_Servicio
1643,Serv-EjInd.Pmarcha.UNAU,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1645,Serv-EjInd.Pmarcha.UNAI,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1647,Serv-EjInd.Calibración.Flujo,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1649,Serv-EjInd.Calibración.Analisis,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1651,Serv-EjInd.Calibración.Presion,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1653,Serv-EjInd.Calibración.Tempe,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1655,Serv-EjInd.Calibración.DetGases,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1657,Serv-EjInd.Calibración.Otros,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1659,Serv-Ejind.Transporte,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1661,Serv-EjInd.Capacitacion.UNAU,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1663,Serv-EjInd.Capacitacion.UNAI,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1665,Serv-EjInd.Repar-Diagnos.UNAU,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1667,Serv-EjInd.Repar-Diagnos.UNAI,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1669,Serv-EjInd.Mantenimiento,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1671,Serv-EjInd.SupervisionSitio,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1673,Serv-EjInd.Otros,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1675,Serv-Equip.VtaRepuestos,,Y,256,Equipos,221,006 Dpto_Servicio
1677,Serv-Equip.Garantia,,Y,256,Equipos,221,006 Dpto_Servicio
1679,Serv-EjInd.Capacitacion.UNVA,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1681,Serv-EjInd.Repar-Diagnos.UNVA,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1683,Serv-EjInd.Pmarcha.UNVA,,N,225,Dpto_Servicio-Ejec. Indirecta,215,NoElegir
1685,Serv-EjDir.Pmarcha.UNVA,,Y,223,Ejecucion,221,006 Dpto_Servicio
1687,Serv-EjDir.Capacitacion.UNVA,,Y,223,Ejecucion,221,006 Dpto_Servicio
1689,Serv-EjDir.Repar-Diagnos.UNVA,,Y,223,Ejecucion,221,006 Dpto_Servicio
1785,KITZ,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
44,Equipos,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
46,Servicios,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
570,Intertec,,Y,207,001 UN AU,,
699,Donaldson,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
701,Micronics,,Y,207,001 UN AU,,
705,Inflex,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
709,Intra-Automation,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
841,Isoil Impianti,,Y,207,001 UN AU,,
845,Effox-Flextor,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
851,Indian Springs Mfg.,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
2957,Viar Valvole,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
2959,EasyTork,,Y,211,003 UN VA,,
2961,REXA,,Y,211,003 UN VA,,
2963,Flo-Tite,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
2965,DelVal,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
2967,Max-Seal ,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
2969,Titan,,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
2971,AZ Armaturen/RFL Rasaii (Tapon 3ro),,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
2975,HIMA,,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
3135,Serv-EjDir.Inst-Puest.Gamma,servalmacenajefuentradio_57,Y,223,Ejecucion,221,006 Dpto_Servicio
3137,Proy-Servicio.Ejec.Indirecta,proyservicioejecindirecta_987,N,217,Dpto_Proyectos (No Usar),215,NoElegir
3706,HMT Tank,hmt-tank,Y,207,001 UN AU,,
3708,Gauge.Ashcroft,ashcroft,Y,207,001 UN AU,,
3710,Fajas.NoRep.Pesaje,fajas-norep-pesaje,Y,207,001 UN AU,,
3712,Fajas.NoRep.ProteccFajas,fajas-norep-proteccfajas,Y,207,001 UN AU,,
3714,Fajas.NoRep.Otros,fajas-norep-otros,Y,207,001 UN AU,,
3716,Valvulas.NoRep.Pinch,valvulas-norep-pinch,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
3718,Valvulas.NoRep.Damper,valvulas-norep-damper,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
3720,DSS Valves,dss-valves,Y,211,003 UN VA,,
3722,Neles,neles,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
3724,Valvulas.NoRep.Cuchilla,valvulas-norep-cuchilla,Y,254,Otros Tipos VVs No Repres,211,003 UN VA
3726,IMS,ims,Y,209,002 UN AI,,
3728,Max-Life,max-life,N,314,Dpto_Ventas-Marcas Antiguas,215,NoElegir
3738,ARMAS,armas,Y,308,Otras Marcas UNVA No Repres,211,003 UN VA
3822,SAR07.6 + GS100.3,sar07_6_gs100_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3824,SA10.2 + AM01.1,sa10_2_am01_1,Y,248,Codigos Internos para Clientes,215,NoElegir
3826,SAR07.2 + GS50.3,sar07_2_gs50_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3828,SAR07.6 + GS63.3,sar07_6_gs63_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3830,SA14.2 + GS125.3,sa14_2_gs125_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3832,SA14.2 + GS125.3,sa14_2_gs125_3,Y,248,Codigos Internos para Clientes,215,NoElegir
3834,SA14.2 + GS125.3,sa14_2_gs125_3,Y,248,Codigos Internos para Clientes,215,NoElegir
